year,TeamID,opexpperpart_men,opexpperteam_men,rev_men,exp_men,opexpperpart_men
2011,1450,52163,938937,3544745,3158178,
2011,1267,36368,581880,2748590,2748590,
2011,1452,117266,1876261,13306654,6377761,
2011,1266,143792,1869292,13877475,8185030,
2011,1453,26516,397745,1295833,1268153,
2011,1458,77125,1234007,17666311,7539418,
2011,1454,20936,376848,2055107,2055107,
2011,1461,33299,466186,2566423,2095211,
2011,1390,48401,726022,6191021,4380416,
2011,1345,75720,1287236,7791967,5171495,
2011,1195,9931,148964,652172,685541,
2012,1105,7296,116729,732937,618738,
2012,1412,37900,492703,2732944,2732944,
2012,1106,9379,159450,839454,839454,
2012,1104,61967,1053440,11016184,6819080,
2012,1120,53150,903546,9507157,7617011,
2012,1240,12351,197612,922011,922011,
2012,1375,22558,360921,1619051,1312333,
2012,1407,10578,158667,889851,889851,
2012,1113,46811,795791,8530479,6220193,
2012,1112,121056,1815836,21209980,6918239,
2012,1213,16724,267579,1324875,1324875,
2012,1114,32797,459157,971974,1607410,
2012,1116,108296,1516142,14608513,9548135,
2012,1115,13607,176890,572627,572627,
2012,1142,15642,265918,1330328,1330328,
2012,1167,20424,285929,1000254,1000254,
2012,1201,24091,337274,2361631,1768355,
2012,1168,12808,230542,1320989,1320989,
2012,1253,19740,335585,1779407,1779407,
2012,1169,13383,227503,1143119,1143119,
2012,1143,60538,908066,6417866,4892366,
2012,1413,15540,202024,969383,969383,
2012,1414,16456,263300,1480478,1480478,
2012,1417,67753,1219557,11621364,6702818,
2012,1364,21886,372065,1811955,1906280,
2012,1334,19817,317075,1860310,1860310,
2012,1337,15375,292124,2001392,2001392,
2012,1361,41834,585677,4721603,3638042,
2012,1360,14892,253164,2730436,2452275,
2012,1362,19842,317466,2467746,2467746,
2012,1425,46886,703287,3717501,4181515,
2012,1161,24529,416999,2342597,2342597,
2012,1294,16957,271316,1161496,1346103,
2012,1148,10426,125107,1464511,1187190,
2012,1163,118369,2604114,7924225,8341406,
2012,1216,23239,348591,1684709,1684709,
2012,1463,10642,170276,834708,838903,
2012,1175,14632,292641,1621332,1620082,
2012,1174,19015,323255,1419883,1645175,
2012,1110,13004,221076,1686244,1686244,
2012,1203,21127,316908,3480829,3480829,
2012,1416,32895,559223,3087868,3073522,
2012,1197,11035,143456,989385,989385,
2012,1194,30938,433131,734450,1341372,
2012,1199,108985,1743757,5959659,5959659,
2012,1196,103906,1454685,9930796,9068107,
2012,1274,64376,965642,7394396,4965839,
2012,1316,17633,211599,929586,948377,
2012,1378,63694,891712,4653209,3588144,
2012,1210,95894,1246626,8543269,4625109,
2012,1209,35503,497037,1417072,1292139,
2012,1208,60073,780948,8718363,5253434,
2012,1273,8139,154638,1218613,1191143,
2012,1218,27107,379499,1520646,2032468,
2012,1129,25159,402549,1689770,1926002,
2012,1133,25195,377918,2316273,2931281,
2012,1177,79437,1032679,6467709,6467709,
2012,1227,13997,237950,1806529,2137907,
2012,1228,78089,1015155,15408818,5630297,
2012,1321,58708,821915,11018639,4577278,
2012,1356,24039,312505,2047844,2047843,
2012,1139,41081,575131,3541122,3541122,
2012,1237,26698,373774,1196427,1196427,
2012,1232,31549,441689,1445143,1445143,
2012,1231,94739,1515816,17804586,7945102,
2012,1323,99973,1299651,3977728,4420406,
2012,1434,21654,281503,1640135,1645652,
2012,1179,33411,567992,2026579,2067844,
2012,1235,60082,961315,6587115,4616643,
2012,1234,80616,1209243,8026024,5615758,
2012,1320,28008,420123,2208478,2138770,
2012,1242,114827,1952057,11535922,9513243,
2012,1243,64515,1032244,7563285,4971590,
2012,1455,51539,876168,5157481,3798648,
2012,1184,14003,182033,1267790,1267790,
2012,1207,11255,123810,784528,735760,
2012,1246,217634,2829245,18557243,12355375,
2012,1257,70977,1064659,40887938,13336649,
2012,1287,21907,306692,1237442,1237442,
2012,1293,14289,228629,1707332,1599334,
2012,1297,10514,178740,753664,753664,
2012,1443,27262,381664,2463934,2463934,
2012,1261,44873,628224,6982768,4449841,
2012,1270,11385,182167,676831,676831,
2012,1309,3861,73351,346767,346767,
2012,1322,8303,190971,830669,830669,
2012,1368,9210,128945,703232,703232,
2012,1380,12139,157812,701818,572315,
2012,1164,11429,148573,887999,722570,
2012,1420,14874,193362,1025127,1025127,
2012,1268,47005,658075,10965638,6062659,
2012,1288,14214,227416,1149130,818005,
2012,1130,58179,872678,5535773,5535773,
2012,1131,23517,329242,2179887,2179888,
2012,1217,13272,185803,989106,989106,
2012,1221,12764,191455,1687489,1687489,
2012,1269,40957,655315,2806835,2806835,
2012,1318,26327,315920,2103657,2103657,
2012,1141,16578,265248,1461759,1461759,
2012,1178,34795,452331,2428379,2307818,
2012,1276,64489,1031831,9154689,5102129,
2012,1277,100027,1700462,16479208,9263945,
2012,1324,29729,475656,1552472,1552472,
2012,1444,21056,315842,1683833,1612454,
2012,1278,64627,1034029,15141713,5549650,
2012,1108,7478,97211,927077,463385,
2012,1238,5822,93145,592045,592045,
2012,1279,68934,1034010,7175223,4270576,
2012,1290,18434,276515,682468,682468,
2012,1280,36844,589509,6914565,4052623,
2012,1379,22901,343521,1806789,1806789,
2012,1281,77997,1091959,11084210,5391400,
2012,1387,4598,64375,515667,511944,
2012,1449,4412,105889,284196,300268,
2012,1286,19825,337018,1577238,1329900,
2012,1285,26209,366926,1212593,1499077,
2012,1166,33007,594124,4771088,4771088,
2012,1304,41925,838506,6371843,4342937,
2012,1424,47765,764238,10123168,3806508,
2012,1305,38545,616723,3329403,1889776,
2012,1192,8677,121479,1166445,1166443,
2012,1284,12134,169877,1598946,1598946,
2012,1343,14181,226888,876787,876787,
2012,1353,41037,697621,4172922,3616763,
2012,1389,13753,192538,1103178,1103178,
2012,1371,91377,1279282,6812231,6812231,
2012,1307,53416,801238,4573517,3825760,
2012,1308,60790,851063,2281193,2281193,
2012,1159,10389,166230,1173338,1173338,
2012,1165,8314,149650,741715,741715,
2012,1233,17171,257559,1547268,1547268,
2012,1264,17164,240302,1824564,1824564,
2012,1310,17541,245575,1366542,1366542,
2012,1382,17460,244440,1905562,1592420,
2012,1373,23768,332749,2211650,2211650,
2012,1385,51581,825293,6686593,6686593,
2012,1107,20135,281886,1426370,1243650,
2012,1127,13150,184100,1046486,1022057,
2012,1138,17517,280274,1325333,1325333,
2012,1392,17208,240913,867502,1398739,
2012,1393,55111,991993,19017231,7532455,
2012,1447,17478,262171,1256001,1207873,
2012,1111,13800,262209,1266606,1266606,
2012,1172,19373,309973,1542837,1604190,
2012,1181,179945,2339291,28917329,13819529,
2012,1205,12634,252673,1444505,1069028,
2012,1299,21416,256996,1031274,1031274,
2012,1421,11112,177785,1102666,760777,
2012,1314,71870,1293657,19672012,6510942,
2012,1150,22901,343517,2275714,2275714,
2012,1422,43636,785445,1740499,1740499,
2012,1300,10199,244770,844140,844140,
2012,1301,49964,699490,10490494,3947120,
2012,1448,40712,610680,8261666,4773315,
2012,1315,18333,275002,988141,982384,
2012,1295,19831,297462,1085069,1085069,
2012,1103,17271,310885,1924397,1924397,
2012,1153,110671,1770729,5943205,4916719,
2012,1156,17017,272266,2085424,2085424,
2012,1173,43740,743580,10403536,3810320,
2012,1245,17873,285962,1602431,1602431,
2012,1275,22430,314016,1484331,1484331,
2012,1326,160622,1927465,17020807,5251724,
2012,1325,22966,390426,2702733,2162046,
