team,year,TeamID,lookup,herop_percentot
UC Santa Barbara (Big West),2011,1364,2011-1364,0.306213018
Utah (Mountain West),2011,1428,2011-1428,0.25295858
Clemson (ACC),2011,1155,2011-1155,0.192307692
Montana (Big Sky),2011,1285,2011-1285,0.220740741
TCU (Mountain West),2011,1395,2011-1395,0.192592593
Loyola Maryland (MAAC),2011,1259,2011-1259,0.192878338
Eastern Wash. (Big Sky),2011,1186,2011-1186,0.192878338
Nebraska (Big 12),2011,1304,2011-1304,0.192878338
Iowa (Big Ten),2011,1234,2011-1234,0.192878338
Seton Hall (AAC),2011,1371,2011-1371,0.192878338
UMES (MEAC),2011,0,2011-0,0.192878338
Ball St. (MAC),2011,0,2011-0,0.193164933
Vermont (America East),2011,1436,2011-1436,0.193164933
Green Bay (Horizon),2011,1453,2011-1453,0.233283804
Mercer (ASUN),2011,1273,2011-1273,0.240713224
Rice (C-USA),2011,0,2011-0,0.193164933
Holy Cross (Patriot),2011,1221,2011-1221,0.229166667
Fresno St. (WAC),2011,1201,2011-1201,0.193452381
SFA (Southland),2011,1372,2011-1372,0.193452381
Wake Forest (ACC),2011,1448,2011-1448,0.193452381
Montana St. (Big Sky),2011,1286,2011-1286,0.225037258
Penn (Ivy League),2011,1335,2011-1335,0.194029851
Alabama (SEC),2011,1104,2011-1104,0.23880597
Southern California (Pac-12),2011,1425,2011-1425,0.258594918
Bethune-Cookman (MEAC),2011,0,2011-0,0.19431988
South Carolina St. (MEAC),2011,1354,2011-1354,0.194610778
Massachusetts (Atlantic 10),2011,1269,2011-1269,0.27994012
Robert Morris (NEC),2011,1352,2011-1352,0.194610778
Creighton (MVC),2011,1166,2011-1166,0.194610778
St. Francis Brooklyn (NEC),2011,0,2011-0,0.194902549
Morgan St. (MEAC),2011,1288,2011-1288,0.194902549
Dayton (Atlantic 10),2011,1173,2011-1173,0.195195195
Northeastern (CAA),2011,1318,2011-1318,0.250750751
Charlotte (Atlantic 10),2011,1150,2011-1150,0.195195195
Hampton (MEAC),2011,1214,2011-1214,0.268768769
Michigan (Big Ten),2011,1276,2011-1276,0.227067669
Indiana St. (MVC),2011,1232,2011-1232,0.195488722
Chicago St. (Chicago St.),2011,0,2011-0,0.195783133
Stanford (Pac-12),2011,1390,2011-1390,0.251506024
Miami (OH) (MAC),2011,1275,2011-1275,0.223227753
Sacred Heart (NEC),2011,0,2011-0,0.196078431
American (Patriot),2011,1110,2011-1110,0.3081571
Southeast Mo. St. (OVC),2011,0,2011-0,0.196374622
High Point (Big South),2011,0,2011-0,0.19667171
Rutgers (AAC),2011,1353,2011-1353,0.19667171
Wyoming (Mountain West),2011,1461,2011-1461,0.220877458
Eastern Ky. (OVC),2011,1184,2011-1184,0.196969697
Nicholls (Southland),2011,0,2011-0,0.196969697
UC Riverside (Big West),2011,0,2011-0,0.197268589
Evansville (MVC),2011,0,2011-0,0.197268589
